Fecha,Año,País,Estado,Sexo,Edad,Provocado,Fatal,Hora_limpia,Momento_día,Especie_grupo,Herida
2018-09-08,2018,USA,Hawaii,M,23,,False,8,Mañana,Tigre,Right arm bitten
2018-08-15,2018,USA,Massachusetts,M,61,,False,16,Tarde,Blanco,"Lacerations to leg, hip and hand"
2018-08-09,2018,USA,Texas,M,42,,False,10,Mañana,Toro,Laceration to right leg above the knee
2018-08-03,2018,EGYPT,,M,42,,True,15,Tarde,Tigre,FATAL
2018-07-18,2018,USA,New York,M,13,,False,12,Tarde,Tigre,Minor puncture wounds to leg
2018-07-18,2018,USA,New York,F,12,,False,11,Mañana,Tigre,Lacerations to lower leg
2018-06-25,2018,USA,California,F,57,,False,18,Tarde,Blanco,"No injury to occupant, outrigger canoe and paddle damaged"
2018-06-04,2018,MEXICO,Colima,M,,,False,,,Tigre,Lacerations to leg & hand PROVOKED INCIDENT
2018-06-03,2018,BRAZIL,Pernambuco,M,18,,True,,,Tigre,FATAL
2018-05-26,2018,USA,Florida,M,15,,False,17,Tarde,Toro,Lower left leg bitten
2018-04-28,2018,USA,Texas,M,,,False,,,Tigre,Forearm bitten by hooked shark PROVOKED INCIDENT
2018-04-28,2018,COSTA RICA,Cocos Island,M,30,,False,10,Mañana,Tigre,"No injury, shark bit scuba gear"
2018-04-24,2018,AUSTRALIA,Western Australia,M,,,False,,,Blanco,"No injury, shark struck his leg"
2018-04-23,2018,MALDIVES,Alifu Alifu Atoll,M,32,,False,21,Noche,Tigre,5-inch cut to hand
2018-04-22,2018,SOUTH AFRICA,Western Cape Province,M,33,,False,9,Mañana,Blanco,"No injury, shark bit hole in ski"
2018-04-15,2018,THAILAND,Hua Hin,M,54,,False,,,Toro,Lacerations to foot and ankle
2018-04-14,2018,BAHAMAS,New Providence,M,,,False,9,Mañana,Tigre,No Injury. Shark swam away with the surf board
2018-04-05,2018,BAHAMAS,,M,12,,False,18,Tarde,Toro,"2 puncture wounds to left foot, abrasion to right foot"
2018-04-03,2018,SOUTH AFRICA,Eastern Cape Province,M,19,,False,15,Tarde,Blanco,Lacerations to left knee & lower leg
2018-03-31,2018,USA,Hawaii,M,25,,False,9,Mañana,Tigre,"Lacerations to right hand and arm, loss of right leg below the knee"
2018-02-23,2018,AUSTRALIA,New South Wales,F,55,,False,19,Noche,Blanco,Laceratons to right leg & foot
2018-02-15,2018,AUSTRALIA,New South Wales,M,35,,False,16,Tarde,Toro,Puncture wounds to leff foot & lower leg
2018-01-28,2018,AUSTRALIA,Western Australia,M,18,,False,8,Mañana,Toro,Injuries to right leg
2018-01-21,2018,NEW CALEDONIA,,M,,,False,15,Tarde,Toro,Injuries to abdomen and arm
2018-01-13,2018,AUSTRALIA,New South Wales,M,28,,False,,,Blanco,"No injury, shark took his swimfin"
2017-12-31,2017,USA,Hawaii,F,54,,False,18,Tarde,Tigre,Severe lacerations to left thigh & knee
2017-12-01,2017,Australia,New South Wales,M,62,,False,10,Mañana,Blanco,"Degloved right arm ligaments in both shoulders torn, both knee cartilages torn, pelvis displacement and shredded foot 32 stiches in all"
2017-11-30,2017,COSTA RICA,Cocos Island,M,26,,False,,,Tigre,Serious injury to leg
2017-11-30,2017,COSTA RICA,Cocos Island,F,49,,True,,,Tigre,FATAL
2017-11-24,2017,USA,California,M,25,,False,13,Tarde,Blanco,Right leg bitten
2017-11-04,2017,CUBA,Holquin Province,M,22,,True,23,Noche,Tigre,FATAL
2017-10-22,2017,AUSTRALIA,South Australia,F,15,,False,,,Blanco,Minor injuries
2017-10-09,2017,USA,Hawaii,M,54,,False,18,Tarde,Tigre,Lacerations to left hand
2017-09-25,2017,AUSTRALIA,Western Australia,M,,,False,18,Tarde,Blanco,"No injury, board damaged by shark"
2017-09-01,2017,AUSTRALIA,Westerm Australia,NAN,,,False,,,Blanco,"sharks rammed boats, no injury to occupants"
2017-09-10,2017,AUSTRALIA,New South Wales,M,35,,False,6,Mañana,Blanco,Minor lacerations to right hip
2017-08-29,2017,AUSTRALIA,Victoria,M,37,,False,10,Mañana,Blanco,"No injury, board bitten"
2017-08-23,2017,USA,Massachusetts,M,69,,False,10,Mañana,Blanco,Not injured by shark but board bitten
2017-08-01,2017,USA,California,M,,,False,10,Mañana,Blanco,"No injury, bow of kayak bitten"
2017-07-23,2017,USA,New Jersey,F,,,False,,,Tigre,Minor injury to hand
2017-07-20,2017,USA,California,M,40,,False,11,Mañana,Blanco,"No injury, kayak bitten"
2017-07-20,2017,USA,California,M,50,,False,7,Mañana,Blanco,"No injury, shark bit paddleboard"
2017-07-14,2017,USA,Washington,M,,,False,18,Tarde,Blanco,Pulled off board by shark but no injury
2017-07-11,2017,USA,California,M,,,False,11,Mañana,Blanco,"No injury, kayak bitten"
2017-07-09,2017,USA,Florida,M,46,,False,15,Tarde,Toro,Lower legs bitten
,2017,MEXICO,Tabasco,M,32,,False,,,Tigre,Hand bitten by hooked shark PROVOKED INCIDENT
2017-07-07,2017,SOUTH AFRICA,Eastern Cape Province,F,13,,False,15,Tarde,Blanco,"No injury, shark bit surfboard"
2017-06-18,2017,USA,South Carolina,F,14,,False,,,Toro,Leg bitten
2017-06-18,2017,REUNION,,M,34,,False,10,Mañana,Toro,"No injury, shark bit surfboard "
2017-06-11,2017,AUSTRALIA,Western Australia,M,48,,False,8,Mañana,Blanco,"No injury, board bitten"
2017-06-02,2017,BAHAMAS,New Providence ,F,32,,False,12,Tarde,Tigre,Right forearm severed 
2017-05-28,2017,USA,Florida,M,,,False,,,Tigre,Lacerations to right arm
2017-04-17,2017,AUSTRALIA,Western Australia,F,17,,True,16,Tarde,Blanco,FATAL
2017-04-14,2017,USA,Hawaii,M,28,,False,9,Mañana,Tigre,Lower right leg severely injured
2017-04-02,2017,USA,Florida,F,17,,False,15,Tarde,Toro,Lacerations to thighs
2017-03-18,2017,USA,California,M,,,False,14,Tarde,Blanco,"No injury, kayak bitten"
2017-02-25,2017,AUSTRALIA,Western Australia,F,,,False,,,Toro,Hand bitten
2017-02-06,2017,SOUTH AFRICA,KwaZulu-Natal,M,,,False,,,Tigre,"Shark damaged kayak, no injury to occupant"
2017-02-01,2017,USA,South Carolina,NAN,,,False,,,Blanco,"Shark bit boat, no injury to occupants"
2017-01-21,2017,AUSTRALIA,Queensland,M,55,,False,12,Tarde,Toro,"Multiple injuries to arm, wrist and torso"
2017-01-09,2017,INDONESIA,Bali,M,48,,False,7,Mañana,Toro,Injury to right wrist & forearm
,,AUSTRALIA,Queensland,M,35,,,,,Toro,"No attack, shark made a threat display"
2016-12-19,2016,SOUTH AFRICA,Western Cape Province,M,55,,False,7,Mañana,Blanco,"No injury, but ski severely damaged"
2016-12-01,2016,AUSTRALIA,New South Wales,M,65,,False,9,Mañana,Blanco,Injuries to foot & arm
2016-11-14,2016,USA,Hawaii,F,58,,False,10,Mañana,Tigre,Injuries to right calf and thigh
2016-10-13,2016,MEXICO,,M,,,,,,Blanco,"Shark breached cage, no injury to diver"
